,Region/s,Bound/s,Year/s,Access Url/s,Variations
0,AK_BrooksCamp,"[[-17347360, 8065364, -12414, -17321558, 8091166, 13388]]",['2012'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_BrooksCamp_2012/ept.json'],1
1,AK_Coastal,"[[-15730544, 10937407, -19027, -15691854, 10976097, 19663]]",['2009'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_Coastal_2009/ept.json'],1
2,AK_Fairbanks-NSBorough,"[[-16471700, 9519129, -45314, -16381190, 9609639, 45196]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_Fairbanks-NSBorough_2010/ept.json'],1
3,AK_Juneau,"[[-15014449, 8012267, -35030, -14943073, 8083643, 36346]]",['2012'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_Juneau_2012/ept.json'],1
4,AK_Kenai,"[[-16906356, 8303726, -166851, -16570284, 8639798, 169221]]",['2008'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_Kenai_2008/ept.json'],1
5,AK_MatanuskaSusitna-Lot1,"[[-16782341, 8663224, -51435, -16678201, 8767364, 52705]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_MatanuskaSusitna-Lot1_2011/ept.json'],1
6,AK_MatanuskaSusitna-Lot2,"[[-16768328, 8706126, -188389, -16390088, 9084366, 189851]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_MatanuskaSusitna-Lot2_2011/ept.json'],1
7,AK_NomeCreek,"[[-16391082, 9681153, -20529, -16348578, 9723657, 21975]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NomeCreek_2010/ept.json'],1
8,AK_NorthSlope_B10,"[[-18152228, 10978280, -6467, -18139030, 10991478, 6731]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B10_2018/ept.json'],1
9,AK_NorthSlope_B11,"[[-18571233, 10544583, -6584, -18557621, 10558195, 7028]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B11_2018/ept.json'],1
10,AK_NorthSlope_B12,"[[-16905696, 10474287, -15444, -16872158, 10507825, 18094]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B12_2018/ept.json'],1
11,AK_NorthSlope_B13,"[[-18156267, 10971456, -13104, -18129745, 10997978, 13418]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B13_2018/ept.json'],1
12,AK_NorthSlope_B14,"[[-18572778, 10488876, -48102, -18475800, 10585854, 48876]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B14_2018/ept.json'],1
13,AK_NorthSlope_B1,"[[-15990539, 11105651, -3519, -15983447, 11112743, 3573]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B1_2018/ept.json'],1
14,AK_NorthSlope_B2,"[[-16816671, 11131304, -6851, -16801711, 11146264, 8109]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B2_2018/ept.json'],1
15,AK_NorthSlope_B3,"[[-17624395, 11221392, -157520, -17308565, 11537222, 158310]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B3_2018/ept.json'],1
16,AK_NorthSlope_B4,"[[-17818846, 11272822, -6296, -17806160, 11285508, 6390]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B4_2018/ept.json'],1
17,AK_NorthSlope_B5,"[[-16002250, 11095749, -8147, -15985036, 11112963, 9067]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B5_2018/ept.json'],1
18,AK_NorthSlope_B6,"[[-16819308, 10987385, -156717, -16504630, 11302063, 157961]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B6_2018/ept.json'],1
19,AK_NorthSlope_B7,"[[-17615692, 11209724, -149488, -17315734, 11509682, 150470]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B7_2018/ept.json'],1
20,AK_NorthSlope_B8,"[[-17834433, 11247373, -25662, -17782965, 11298841, 25806]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B8_2018/ept.json'],1
21,AK_NorthSlope_B9,"[[-16896611, 10483668, -4530, -16885307, 10494972, 6774]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_NorthSlope_B9_2018/ept.json'],1
22,AK_ValdezB,"[[-16324046, 8607668, -39681, -16242942, 8688772, 41423]]",['2007'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_ValdezB_2007/ept.json'],1
23,AK_Valdez,"[[-16324097, 8595907, -39642, -16243073, 8676931, 41382]]",['2007'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_Valdez_2007/ept.json'],1
24,AK_YukonFlats,"[[-16355534, 9810051, -115199, -16124550, 10041035, 115785]]",['2009'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AK_YukonFlats_2009/ept.json'],1
25,AL_25Co_TL,"[[-9738245, 3679488, -76796, -9583993, 3833740, 77456]]",['2017'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AL_25Co_TL_2017/ept.json'],1
26,AL_BaldwinCo-East,"[[-9769660, 3541928, -28229, -9711848, 3599740, 29583]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AL_BaldwinCo-East_2011/ept.json'],1
27,AL_BaldwinCo-West,"[[-9806543, 3585333, -14547, -9776607, 3615269, 15389]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AL_BaldwinCo-West_2011/ept.json'],1
28,AL_BlountCo,"[[-9680980, 3993429, -36796, -9606762, 4067647, 37422]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AL_BlountCo_2010/ept.json'],1
29,AL_ColbertLauderdale,"[[-9819698, 4079099, -56296, -9707786, 4191011, 55616]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AL_ColbertLauderdale_2011/ept.json'],1
30,AL_NorthAL,"[[-9680134, 4083753, -40167, -9599032, 4164855, 40935]]",['2019'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AL_NorthAL_2019/ept.json'],1
31,AL_TriCounty,"[[-9638897, 3908730, -59670, -9519967, 4027660, 59260]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AL_TriCounty_2010/ept.json'],1
32,AR-TN_NRCS_CaneCreek,"[[-9988653, 4246921, -16161, -9955677, 4279897, 16815]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR-TN_NRCS_CaneCreek_2010/ept.json'],1
33,AR-TN_NRCS_Sharkey,"[[-10049752, 4228773, -41023, -9967132, 4311393, 41597]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR-TN_NRCS_Sharkey_2010/ept.json'],1
34,ARRA-AK_EkluntaGlacier,"[[-16603766, 8652921, -22853, -16555184, 8701503, 25729]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-AK_EkluntaGlacier_2010/ept.json'],1
35,ARRA-AL_MobileBay,"[[-9800749, 3540495, -36278, -9727125, 3614119, 37346]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-AL_MobileBay_2010/ept.json'],1
36,ARRA-AL_TennesseeRiver,"[[-9938965, 3832734, -117185, -9704069, 4067630, 117711]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-AL_TennesseeRiver_2010/ept.json'],1
37,ARRA-CA_CentralCoast-Z3,"[[-13621084, 4395815, -45935, -13528984, 4487915, 46165]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-CA_CentralCoast-Z3_2010/ept.json'],1
38,ARRA-CA_CentralCoast-Z4,"[[-13590521, 4270733, -81493, -13426673, 4434581, 82355]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-CA_CentralCoast-Z4_2010/ept.json'],1
39,ARRA-CA_ChannelIslands-10,"[[-13411348, 3998023, -28335, -13353676, 4055695, 29337]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-CA_ChannelIslands-10_2010/ept.json'],1
40,ARRA-CA_ChannelIslands-11,"[[-13387398, 3928047, -68890, -13248460, 4066985, 70048]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-CA_ChannelIslands-11_2010/ept.json'],1
